player_id,player_name,bowling_style
495d42a5,R Ashwin,Right-arm off-spin
98ae73b1,PP Chawla,Right-arm leg-spin
6b19d823,A Mishra,Right-arm leg-spin
87e562a9,DJ Bravo,Right-arm pace
cc1e8c68,UT Yadav,Right-arm pace
a12e1d51,SL Malinga,Right-arm pace
e938e1bc,P Kumar,Right-arm pace
759ac88f,MM Sharma,Right-arm pace
91a4a398,Z Khan,Left-arm pace
8fd1a8f5,DW Steyn,Right-arm pace
41eb4a4f,R Vinay Kumar,Right-arm pace
5fa06777,IK Pathan,Left-arm pace
4329fbb5,SR Watson,Right-arm pace
96fd40ae,A Nehra,Left-arm pace
6c6591ab,PP Ojha,Left-arm orthodox
bbd41817,AD Russell,Right-arm pace
d2a989fc,DS Kulkarni,Right-arm pace
c3d1402f,RP Singh,Left-arm pace
86dc8f2e,JH Kallis,Right-arm pace
c3d35165,JA Morkel,Right-arm pace
fb66ce1f,CH Morris,Right-arm pace
33a364a6,R Bhatia,Right-arm off-spin
5bb5a915,M Morkel,Right-arm pace
4ba44e19,M Muralitharan,Right-arm off-spin
66b30f71,AB Dinda,Right-arm pace
b2b50355,L Balaji,Right-arm pace
3d7e087f,SK Trivedi,Right-arm off-spin
a757b0d8,KA Pollard,Right-arm pace
7dc35884,Shakib Al Hasan,Left-arm orthodox
9d80c5e1,S Nadeem,Left-arm orthodox
0a8fce53,Mustafizur Rahman,Left-arm pace
f0f628c7,MM Patel,Right-arm pace
acee4cc4,Imran Tahir,Right-arm leg-spin
51a3c5ef,MJ McClenaghan,Left-arm pace
f5180fe6,MG Johnson,Left-arm pace
808f425a,JP Faulkner,Left-arm pace
dcf81436,S Kaul,Right-arm pace
13c35c9e,TG Southee,Right-arm pace
bb18be76,SK Warne,Right-arm leg-spin
abfeb126,M Kartik,Left-arm orthodox
3c6ffae8,YK Pathan,Right-arm off-spin
c8179c68,SB Jakati,Left-arm orthodox
b681e71e,GJ Maxwell,Right-arm off-spin
0f721006,JO Holder,Right-arm pace
0a3d54b9,VR Aaron,Right-arm pace
0c2730df,A Kumble,Right-arm leg-spin
32198ae0,MC Henriques,Right-arm pace
5d9a1a73,R Sharma,Right-arm leg-spin
85aae393,Iqbal Abdulla,Left-arm orthodox
1dc12ab9,SK Raina,Right-arm off-spin
ae78bc32,MS Gony,Right-arm pace
2a2e6343,DT Christian,Right-arm pace
6b8eb6e5,S Sreesanth,Right-arm pace
f24c6701,M Theekshana,Right-arm off-spin
dd09ff8e,B Lee,Right-arm pace
e2db2409,M Ashwin,Right-arm leg-spin
1c914163,Yuvraj Singh,Left-arm orthodox
56ab442f,NM Coulter-Nile,Right-arm pace
9fc0ef64,PJ Sangwan,Left-arm pace
bb351c23,MM Ali,Right-arm off-spin
12eddf28,RJ Harris,Right-arm pace
896d78ad,AD Mathews,Right-arm pace
fa463154,AB Agarkar,Right-arm pace
d7c6af50,DL Vettori,Left-arm orthodox
957532de,S Aravind,Left-arm pace
1a0c3177,P Awana,Right-arm pace
3a60e0b5,WD Parnell,Left-arm pace
f62772e5,P Negi,Left-arm orthodox
0f12f9df,NLTC Perera,Right-arm off-spin
7c503806,J Botha,Right-arm off-spin
e087956b,BA Stokes,Right-arm pace
7c7d63a2,AJ Tye,Right-arm pace
2e8994e7,JP Duminy,Right-arm off-spin
ffe699c0,CJ Jordan,Right-arm pace
26a85969,R Dhawan,Left-arm pace
6aed7e79,PV Tambe,Right-arm leg-spin
21d4e29b,Navdeep Saini,Right-arm pace
c404f58a,DP Nannes,Left-arm pace
bd17b45f,STR Binny,Right-arm pace
f9e6e7ef,Shahbaz Ahmed,Left-arm orthodox
90de905a,K Gowtham,Right-arm off-spin
557153ca,KK Cooper,Right-arm pace
45c2196c,DE Bollinger,Left-arm pace
db584dad,CH Gayle,Right-arm off-spin
35205dfc,DR Smith,Right-arm leg-spin
9a158001,Azhar Mahmood,Right-arm pace
db31895a,AS Rajpoot,Left-arm pace
bd77eb62,A Symonds,Right-arm off-spin
2a72fd4f,Harmeet Singh,Left-arm orthodox
871e9faf,Basil Thampi,Right-arm pace
d8b2f218,BB Sran,Left-arm pace
addfb70e,SW Tait,Right-arm pace
5b040b81,A Singh,Right-arm pace
14f96089,A Zampa,Right-arm leg-spin
e0407c01,IC Pandey,Right-arm pace
f708a0bc,GB Hogg,Right-arm leg-spin
7d92277a,Mujeeb Ur Rahman,Right-arm off-spin
2cdce1be,C Sakariya,Left-arm pace
05c2ca46,RE van der Merwe,Left-arm orthodox
4c5d73db,CR Woakes,Right-arm pace
eaa76d3c,C Green,Right-arm pace
b0946605,AS Joseph,Right-arm pace
5d096f3d,RR Powar,Right-arm off-spin
ab89348d,MF Maharoof,Right-arm pace
4125d931,J Suchith,Left-arm orthodox
62af8546,Mohammad Nabi,Right-arm off-spin
69be866a,Anureet Singh,Right-arm pace
c0c411cb,Naveen-ul-Haq,Right-arm pace
64775749,RP Meredith,Right-arm pace
73ad96ed,DJ Hooda,Right-arm off-spin
f3171936,BW Hilfenhaus,Right-arm pace
24d94623,Ankit Sharma,Left-arm orthodox
4933f499,JP Behrendorff,Left-arm pace
034b4b7d,VRV Singh,Right-arm leg-spin
2498e163,JR Hopes,Right-arm pace
caf69bf7,DR Sams,Left-arm pace
c654af19,R McLaren,Right-arm pace
4bd09374,Akash Madhwal,Right-arm pace
2af1b6d2,AN Ahmed,Right-arm leg-spin
93a17209,VY Mahesh,Right-arm pace
dfc4d8b5,KW Richardson,Right-arm pace
ee7d0c82,GD McGrath,Right-arm pace
fd835ab3,DJ Hussey,Right-arm off-spin
b552a935,AC Thomas,Right-arm pace
b1451597,LR Shukla,Right-arm pace
3edb58fc,AD Mascarenhas,Right-arm pace
e32d22f6,Pankaj Singh,Right-arm pace
8abdf100,CJ Anderson,Right-arm pace
dc4686e6,BA Bhatt,Left-arm orthodox
aa8d28ae,D Wiese,Right-arm pace
f233bbb4,ST Jayasuriya,Left-arm orthodox
ad427b5c,Lalit Yadav,Right-arm off-spin
66cf56a5,A Mithun,Right-arm pace
bcce309e,WPUJC Vaas,Left-arm pace
f6d8a7ab,K Kartikeya,Right-arm leg-spin
2049f3a0,SJ Srivastava,Right-arm pace
2e11c706,BCJ Cutting,Right-arm pace
88fccd6c,SM Pollock,Right-arm pace
725529bc,SC Ganguly,Right-arm pace
3204c99f,G Coetzee,Right-arm pace
5bdcdb72,TM Dilshan,Right-arm off-spin
ef5da05c,AG Murtaza,Left-arm pace
d68e7f48,R Rampaul,Right-arm pace
1c2a64cd,A Ashish Reddy,Right-arm off-spin
76388dc8,S Badree,Right-arm leg-spin
9f961c14,Joginder Sharma,Right-arm pace
e9c7f0d0,Fazalhaq Farooqi,Left-arm pace
e342e5fb,CR Brathwaite,Right-arm pace
29d72eb2,AA Chavan,Left-arm orthodox
64d43928,Sohail Tanvir,Left-arm pace
ea0cdc12,BAW Mendis,Right-arm off-spin
30df8c66,Simarjeet Singh,Right-arm pace
e86754b2,TK Curran,Right-arm pace
0994d0ae,V Shankar,Right-arm pace
3eac9d95,JDP Oram,Right-arm pace
c03c6200,DJG Sammy,Right-arm pace
91ffa6c6,JD Ryder,Right-arm pace
b57f8a9a,BJ Hodge,Right-arm off-spin
99b202b3,A Chandila,Right-arm leg-spin
342d8ade,CRD Fernando,Right-arm pace
b8527c3d,Rasikh Salam,Right-arm pace
a45a5e8d,AM Nayar,Right-arm pace
9061a703,J Little,Left-arm pace
94d7f855,C de Grandhomme,Right-arm pace
7f048519,DJ Willey,Left-arm pace
dec8e038,J Theron,Right-arm pace
edb3d4f8,KC Cariappa,Right-arm leg-spin
57efa3be,SB Styris,Right-arm pace
fe763256,Y Venugopal Rao,Right-arm off-spin
d92e42f5,KP Appanna,Left-arm orthodox
9219eff0,JDS Neesham,Right-arm pace
f846de6a,MN Samuels,Right-arm off-spin
f752db61,JL Pattinson,Right-arm pace
20a941bb,M Ntini,Right-arm pace
b410bd3d,S Lamichhane,Right-arm leg-spin
c24a2c5d,S Tyagi,Right-arm pace
4353bba5,YA Abdulla,Left-arm orthodox
245c97cb,TS Mills,Right-arm pace
7ca5e05d,RS Bopara,Right-arm pace
5f26df4f,VS Malik,Right-arm pace
0c9652b0,HR Shokeen,Left-arm orthodox
d718440b,V Pratap Singh,Right-arm leg-spin
1647bd37,Karanveer Singh,Left-arm orthodox
1da489ff,S Kaushik,Left-arm wrist spin
9170ff49,Parvez Rasool,Right-arm off-spin
e03b66ec,Mohammad Asif,Right-arm pace
4c4fa80b,SMSM Senanayake,Right-arm off-spin
c64c2443,J Syed Mohammad,Left-arm orthodox
af7dadf7,B Akhil,Right-arm pace
4f629497,SE Bond,Right-arm pace
16043342,AB McDonald,Right-arm pace
641ac5ff,IS Sodhi,Right-arm leg-spin
b4f5c2d9,KL Nagarkoti,Right-arm pace
0dc00542,Shahid Afridi,Right-arm leg-spin
ee1b6c27,N Thushara,Right-arm pace
f5f18a18,S Randiv,Right-arm off-spin
ac5ae4af,I Udana,Right-arm pace
39f01cdb,KP Pietersen,Right-arm off-spin
b2a79f17,B Laughlin,Right-arm pace
cdc6bdba,S Sandeep Warrier,Right-arm pace
83c3e8e3,SH Johnson,Right-arm pace
75224f22,KMA Paul,Right-arm pace
529eb9e0,OC McCoy,Left-arm pace
e412cb64,HF Gurney,Left-arm pace
6ef60d3a,Kamran Khan,Left-arm pace
d1c94b25,CK Langeveldt,Right-arm pace
0c432afb,P Parameswaran,Right-arm leg-spin
acd4f5dc,DP Vijaykumar,Left-arm pace
25eeb281,PC Valthaty,Right-arm off-spin
cf73ad76,JEC Franklin,Left-arm pace
0604ef16,SB Bangar,Right-arm pace
260fd380,AM Salvi,Right-arm pace
9a963804,LE Plunkett,Right-arm pace
11614d87,D Pretorius,Right-arm pace
aaa1b522,TL Suman,Right-arm off-spin
b56dc5f7,BE Hendricks,Left-arm pace
d2340a43,Anand Rajan,Right-arm off-spin
6834d1f2,B Stanlake,Right-arm pace
a7c226e1,FH Edwards,Right-arm pace
5f4e9e8f,RR Raje,Right-arm pace
626c5379,R Sathish,Right-arm pace
fa2f1dde,K Khejroliya,Left-arm pace
a316d663,GC Viljoen,Right-arm pace
fb693839,S Ladda,Right-arm pace
a457cfb5,Mayank Dagar,Left-arm orthodox
80b2fb19,Prince Yadav,Left-arm orthodox
8ba8195d,V Sehwag,Right-arm off-spin
b2ae53f5,T Thushara,Right-arm pace
16dfcc19,Umar Gul,Right-arm pace
798cc28e,KM Asif,Right-arm pace
6ad3a659,P Amarnath,Right-arm off-spin
a1d053dd,SS Cottrell,Left-arm pace
de4b0555,R Shukla,Right-arm pace
8d92a2c3,MA Wood,Right-arm pace
8db7f47f,RJW Topley,Left-arm pace
a03bba42,T Shamsi,Left-arm wrist spin
4180d897,JE Taylor,Right-arm pace
6f49cc6e,Shivam Sharma,Left-arm orthodox
8291f939,AL Menaria,Left-arm orthodox
f18ba07f,Ankit Soni,Left-arm orthodox
d4eef961,M de Lange,Right-arm pace
287686fd,S Narwal,Right-arm pace
9a0146b3,P Sahu,Right-arm pace
469ea22b,KMDN Kulasekara,Right-arm pace
8a668774,Shoaib Ahmed,Right-arm leg-spin
d7b3a420,Jaskaran Singh,Right-arm pace
dddca1d6,SB Wagh,Right-arm pace
18e6906e,A Choudhary,Left-arm pace
cedc1d9a,P Suyal,Right-arm pace
b2570b38,RV Gomez,Right-arm pace
a9da7784,KJ Abbott,Right-arm pace
be869ccf,GHS Garton,Left-arm pace
23cca426,OF Smith,Right-arm off-spin
da934ee8,MK Lomror,Left-arm orthodox
1ee08e9a,JA Richardson,Right-arm pace
a386e91b,PD Collingwood,Right-arm pace
2815fe50,AA Jhunjhunwala,Right-arm pace
26d041c4,Sikandar Raza,Right-arm off-spin
2c76b512,DJ Muthuswami,Right-arm pace
890de8cb,Gagandeep Singh,Right-arm pace
cd8d2859,DG Nalkande,Right-arm pace
4ec07775,RN ten Doeschate,Right-arm pace
ed5a5510,P Dubey,Right-arm leg-spin
6821ac10,JJ van der Wath,Right-arm pace
3dba85c2,WA Mota,Right-arm pace
cca50cd6,LJ Wright,Right-arm pace
2f3817ce,TP Sudhindra,Right-arm off-spin
402f8494,RJ Gleeson,Right-arm pace
f842c2cf,MJ Clarke,Left-arm orthodox
ddc0828d,A Flintoff,Right-arm pace
e0351c86,DNT Zoysa,Left-arm pace
dbc50253,AP Dole,Right-arm off-spin
e38bce7a,MG Bracewell,Right-arm off-spin
a1f1829d,K Goel,Right-arm off-spin
662c47a6,Y Nagar,Left-arm orthodox
cb9b8664,W O'Rourke,Right-arm pace
249d60c9,AU Rashid,Right-arm leg-spin
c6097d68,O Thomas,Right-arm pace
63bff7f9,SM Harwood,Right-arm pace
9ab63e7b,Mohammad Hafeez,Right-arm off-spin
